regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-publication-service
2025-11-21T10:54:40.479882827Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Recebido upload. Título original: Publication title | RequestId: f4d7510f-8d38-4074-a37c-15ffcb03277f
2025-11-21T10:54:40.489530034Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 134 | RequestId: f4d7510f-8d38-4074-a37c-15ffcb03277f
2025-11-21T10:54:40.489698038Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d | RequestId: f4d7510f-8d38-4074-a37c-15ffcb03277f
2025-11-21T10:54:40.501253986Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Dados do usuário recebidos: admin | RequestId: f4d7510f-8d38-4074-a37c-15ffcb03277f
2025-11-21T10:54:40.501374489Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload | RequestId: f4d7510f-8d38-4074-a37c-15ffcb03277f
2025-11-21T10:54:40.534532800Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Resposta do serviço Node.js recebida. Status: 200 OK | RequestId: f4d7510f-8d38-4074-a37c-15ffcb03277f

2025-11-21T10:54:40.566405284Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Recebido upload. Título original: Publication title | RequestId: 81013c20-5d27-4538-b592-77652b6880af
2025-11-21T10:54:40.575236674Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 134 | RequestId: 81013c20-5d27-4538-b592-77652b6880af
2025-11-21T10:54:40.575283675Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d | RequestId: 81013c20-5d27-4538-b592-77652b6880af
2025-11-21T10:54:40.585271489Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Dados do usuário recebidos: admin | RequestId: 81013c20-5d27-4538-b592-77652b6880af
2025-11-21T10:54:40.585705799Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload | RequestId: 81013c20-5d27-4538-b592-77652b6880af
2025-11-21T10:54:40.618330699Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Resposta do serviço Node.js recebida. Status: 200 OK | RequestId: 81013c20-5d27-4538-b592-77652b6880af

2025-11-21T10:54:40.656639921Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Recebido upload. Título original: Publication title | RequestId: 18201d97-3513-4930-b917-96652e31089b
2025-11-21T10:54:40.674589506Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 134 | RequestId: 18201d97-3513-4930-b917-96652e31089b
2025-11-21T10:54:40.674955914Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d | RequestId: 18201d97-3513-4930-b917-96652e31089b
2025-11-21T10:54:40.684562021Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Dados do usuário recebidos: admin | RequestId: 18201d97-3513-4930-b917-96652e31089b
2025-11-21T10:54:40.685580342Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload | RequestId: 18201d97-3513-4930-b917-96652e31089b
2025-11-21T10:54:40.709662859Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Resposta do serviço Node.js recebida. Status: 200 OK | RequestId: 18201d97-3513-4930-b917-96652e31089b

2025-11-21T10:54:41.532533421Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Recebido upload. Título original: Publication title | RequestId: 5adfdae6-73a9-4e95-8916-12a7defbdec7
