vm,timestamp,service,message,requestId
MSVirtualMachine-1,,mystack_user-publication-service,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-publication-service,
MSVirtualMachine-1,2025-10-31T00:28:42.676144219Z,mystack_user-publication-service,[Java Service] Recebido upload. Título original: Title of Publication,
MSVirtualMachine-1,2025-10-31T00:28:42.687733943Z,mystack_user-publication-service,[Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 145,
MSVirtualMachine-1,2025-10-31T00:28:42.687894543Z,mystack_user-publication-service,[Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d,
MSVirtualMachine-1,2025-10-31T00:28:42.918344118Z,mystack_user-publication-service,[Java Service] Dados do usuário recebidos: admin,
MSVirtualMachine-1,2025-10-31T00:28:42.918534418Z,mystack_user-publication-service,[Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload,
MSVirtualMachine-1,2025-10-31T00:28:42.958090900Z,mystack_user-publication-service,[Java Service] Resposta do serviço Node.js recebida. Status: 200 OK,
MSVirtualMachine-1,,mystack_user-auth-service,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-auth-service,
MSVirtualMachine-2,2025-10-31T00:28:42.776668907Z,mystack_user-auth-service,2025-10-31T00:28:42.774Z  INFO 1 --- [demo] [nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet',
MSVirtualMachine-2,2025-10-31T00:28:42.776741317Z,mystack_user-auth-service,2025-10-31T00:28:42.774Z  INFO 1 --- [demo] [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet',
